yearmonth,IUCR,Primary Type,Description,FBI Code,count
2002-11,0483,BATTERY,AGG PRO.EMP: OTHER DANG WEAPON,04B,12
2002-10,1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,11,61
2002-12,2111,NARCOTICS,SALE/DEL HYPODERMIC NEEDLE,26,8
2002-10,1335,CRIMINAL TRESPASS,TO AIRPORT,26,5
2002-10,1590,SEX OFFENSE,ATT AGG CRIMINAL SEXUAL ABUSE,17,1
2003-02,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,26,276
2003-02,501A,OTHER OFFENSE,ANIMAL ABUSE/NEGLECT,26,21
2003-01,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,26,277
2003-03,0485,BATTERY,AGGRAVATED OF A CHILD,04B,11
2003-04,0452,BATTERY,AGGRAVATED PO: KNIFE/CUT INSTR,04B,3
2003-03,143C,WEAPONS VIOLATION,UNLAWFUL POSS AMMUNITION,15,4
2003-02,1682,OTHER OFFENSE,ANIMAL FIGHTING,19,5
2002-02,2013,NARCOTICS,MANU/DELIVER: HEROIN(BRN/TAN),18,3
2002-03,1170,DECEPTIVE PRACTICE,IMPERSONATION,11,7
2002-04,0325,ROBBERY,VEHICULAR HIJACKING,03,32
2002-04,0265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,02,28
2002-03,2016,NARCOTICS,MANU/DELIVER:PCP,18,2
2002-03,2840,PUBLIC PEACE VIOLATION,FALSE FIRE ALARM,24,16
2002-05,0485,BATTERY,AGGRAVATED OF A CHILD,04B,1
2002-05,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,04B,1
2002-07,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,03,68
2002-11,0840,THEFT,FINANCIAL ID THEFT: OVER $300,06,314
2002-10,0880,THEFT,PURSE-SNATCHING,06,145
2002-12,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,18,72
2002-10,0263,CRIM SEXUAL ASSAULT,AGGRAVATED: KNIFE/CUT INSTR,02,6
2003-02,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",07,165
2003-02,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,03,39
2003-04,2095,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,18,95
2003-04,1090,ARSON,ATTEMPT ARSON,09,13
2003-04,0650,BURGLARY,HOME INVASION,05,19
2003-04,3800,INTERFERENCE WITH PUBLIC OFFICER,INTERFERENCE JUDICIAL PROCESS,26,9
2003-03,2090,NARCOTICS,ALTER/FORGE PRESCRIPTION,18,7
2003-03,0581,STALKING,AGGRAVATED,08A,4
2003-02,1185,DECEPTIVE PRACTICE,DECEPTIVE COLLECTION PRACTICES,11,2
2003-06,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,26,39
2003-07,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,02,27
2003-07,1755,OFFENSE INVOLVING CHILDREN,CHILD ABANDONMENT,26,9
2003-10,4210,KIDNAPPING,KIDNAPPING,26,6
2003-11,0555,ASSAULT,AGG PRO.EMP: HANDGUN,04A,2
2003-12,2095,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,18,141
2003-12,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,26,94
2004-02,5008,OTHER OFFENSE,FIREARM REGISTRATION VIOLATION,26,1
2004-04,2016,NARCOTICS,MANU/DELIVER:PCP,18,2
2004-05,2220,LIQUOR LAW VIOLATION,ILLEGAL POSSESSION BY MINOR,22,30
2004-05,0558,ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,04A,13
2003-03,0480,BATTERY,AGG PRO.EMP: HANDGUN,04B,1
2003-04,500N,OTHER OFFENSE,ABUSE/NEGLECT: CARE FACILITY,26,2
2003-05,2022,NARCOTICS,POSS: COCAINE,18,162
2003-08,1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,10,42
2003-06,0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,07,158
2003-06,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,03,77
2003-06,0843,THEFT,ATTEMPT FINANCIAL IDENTITY THEFT,06,1
2003-08,1790,OFFENSE INVOLVING CHILDREN,CHILD ABDUCTION,20,44
2004-03,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,04B,425
2004-03,0320,ROBBERY,STRONGARM - NO WEAPON,03,401
2003-12,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,03,39
2003-11,1505,PROSTITUTION,CALL OPERATION,16,4
2003-12,1792,KIDNAPPING,CHILD ABDUCTION/STRANGER,20,18
2004-01,1195,DECEPTIVE PRACTICE,FINAN EXPLOIT-ELDERLY/DISABLED,11,13
2004-01,0263,CRIM SEXUAL ASSAULT,AGGRAVATED: KNIFE/CUT INSTR,02,2
2004-05,1010,ARSON,BY EXPLOSIVE,09,1
2003-01,500E,OTHER OFFENSE,EAVESDROPPING,26,1
2003-07,501A,OTHER OFFENSE,ANIMAL ABUSE/NEGLECT,26,60
2003-06,0890,THEFT,FROM BUILDING,06,1549
2003-08,1365,CRIMINAL TRESPASS,TO RESIDENCE,26,171
2003-07,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,14,97
2003-07,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,10,44
2003-07,0850,THEFT,ATTEMPT THEFT,06,69
2003-05,0337,ROBBERY,ATTEMPT: ARMED-OTHER DANG WEAP,03,10
2003-06,0337,ROBBERY,ATTEMPT: ARMED-OTHER DANG WEAP,03,21
2003-06,0265,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,02,1
2003-09,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,03,62
2003-10,0291,CRIM SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,02,6
2003-10,0330,ROBBERY,AGGRAVATED,03,74
2003-11,2220,LIQUOR LAW VIOLATION,ILLEGAL POSSESSION BY MINOR,22,21
2004-03,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,11,144
2003-12,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,04A,174
2003-12,1621,GAMBLING,BOLITA OR BOLI PUL/RUNNER,19,1
2003-12,0498,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,04B,8
2004-03,501A,OTHER OFFENSE,ANIMAL ABUSE/NEGLECT,26,16
2004-01,0488,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDGUN,04B,2
2004-03,143C,WEAPONS VIOLATION,UNLAWFUL POSS AMMUNITION,15,10
2004-05,1310,CRIMINAL DAMAGE,TO PROPERTY,14,2153
2004-04,1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,11,13
2004-07,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,03,56
2003-04,3970,INTIMIDATION,EXTORTION,26,2
2003-06,1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,11,58
2003-06,502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,26,28
2003-07,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,18,53
2003-08,0454,BATTERY,AGG PO HANDS NO/MIN INJURY,08B,81
2003-09,0461,BATTERY,AGG PO HANDS ETC SERIOUS INJ,04B,3
2003-11,5004,SEX OFFENSE,ATT CRIM SEXUAL ABUSE,17,7
2004-03,0917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",07,6
2003-12,2890,PUBLIC PEACE VIOLATION,OTHER VIOLATION,26,8
2004-04,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,15,221
2004-03,1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,11,7
2004-06,0550,ASSAULT,AGGRAVATED PO: HANDGUN,04A,5
2003-02,1549,PROSTITUTION,OTHER PROSTITUTION OFFENSE,16,1
2003-04,1245,DECEPTIVE PRACTICE,PAY TV SERVICE OFFENSES,11,1
2003-05,0485,BATTERY,AGGRAVATED OF A CHILD,04B,10
2003-05,141B,WEAPONS VIOLATION,UNLAWFUL USE OTHER FIREARM,15,4
2003-07,502T,OTHER OFFENSE,TAMPER WITH MOTOR VEHICLE,26,4
2003-05,1621,GAMBLING,BOLITA OR BOLI PUL/RUNNER,19,1
2003-09,0479,BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY,04B,17
2003-11,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,03,67
2003-11,0557,ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,04A,5
2003-09,0483,BATTERY,AGG PRO.EMP: OTHER DANG WEAPON,04B,10
2003-10,2026,NARCOTICS,POSS: PCP,18,7
2003-11,1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,10,34
2003-11,2890,PUBLIC PEACE VIOLATION,OTHER VIOLATION,26,7
2004-02,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,15,148
2004-01,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,04B,66
2004-02,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,04A,130
2004-01,4651,OTHER OFFENSE,SEX OFFENDER: FAIL REG NEW ADD,26,63
2004-01,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,26,60
2004-01,2018,NARCOTICS,MANU/DELIVER:SYNTHETIC DRUGS,18,1
2004-06,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,18,45
2004-06,0483,BATTERY,AGG PRO.EMP: OTHER DANG WEAPON,04B,9
2003-03,0552,ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,04A,1
2003-07,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,04B,223
2003-06,2095,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,18,106
2003-09,3100,PUBLIC PEACE VIOLATION,MOB ACTION,24,10
2003-09,0557,ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,04A,2
2003-09,2851,PUBLIC PEACE VIOLATION,ARSON THREAT,26,39
2003-09,4651,OTHER OFFENSE,SEX OFFENDER: FAIL REG NEW ADD,26,4
2003-10,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,20,9
2003-11,0553,ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,04A,7
2001-11,0843,THEFT,ATTEMPT FINANCIAL IDENTITY THEFT,06,1
2003-12,0880,THEFT,PURSE-SNATCHING,06,141
2003-11,1525,PROSTITUTION,PATRONIZING A PROSTITUTE,16,8
2004-02,1185,DECEPTIVE PRACTICE,DECEPTIVE COLLECTION PRACTICES,11,1
2004-06,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,26,296
2004-03,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,22,16
2004-04,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,08B,98
2004-03,2026,NARCOTICS,POSS: PCP,18,22
2003-08,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,08B,11
2003-11,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,26,205
2003-10,4651,OTHER OFFENSE,SEX OFFENDER: FAIL REG NEW ADD,26,40
2003-11,2851,PUBLIC PEACE VIOLATION,ARSON THREAT,26,32
2003-09,1850,NARCOTICS,CANNABIS PLANT,18,8
2003-10,1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,11,66
2003-08,1626,GAMBLING,ILLEGAL ILL LOTTERY,19,4
2003-08,3730,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,24,8
2003-08,2030,NARCOTICS,MANU/DELIVER:LOOK-ALIKE DRUG,18,1
2003-11,1682,OTHER OFFENSE,ANIMAL FIGHTING,19,3
2003-12,0840,THEFT,FINANCIAL ID THEFT: OVER $300,06,324
2004-02,2024,NARCOTICS,POSS: HEROIN(WHITE),18,583
2004-03,1335,CRIMINAL TRESPASS,TO AIRPORT,26,7
2004-03,2027,NARCOTICS,POSS: CRACK,18,1064
2004-02,0479,BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY,04B,7
2004-04,2230,LIQUOR LAW VIOLATION,ILLEGAL CONSUMPTION BY MINOR,22,30
2004-06,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,03,76
2003-08,1310,CRIMINAL DAMAGE,TO PROPERTY,14,2244
2003-06,1525,PROSTITUTION,PATRONIZING A PROSTITUTE,16,3
2003-07,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),18,129
2003-06,1110,DECEPTIVE PRACTICE,BOGUS CHECK,11,91
2003-08,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,03,104
2003-05,1525,PROSTITUTION,PATRONIZING A PROSTITUTE,16,13
2003-08,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,20,82
2003-07,1720,OFFENSE INVOLVING CHILDREN,CONTRIBUTE DELINQUENCY OF A CHILD,20,6
2003-07,1585,SEX OFFENSE,OTHER,17,2
2003-10,1564,SEX OFFENSE,CRIMINAL TRANSMISSION OF HIV,17,1
2003-08,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,04B,40
2003-09,0337,ROBBERY,ATTEMPT: ARMED-OTHER DANG WEAP,03,20
2003-09,2029,NARCOTICS,POSS: HEROIN(BLACK TAR),18,1
2003-12,2024,NARCOTICS,POSS: HEROIN(WHITE),18,513
2004-01,1670,GAMBLING,GAME/AMUSEMENT DEVICE,19,11
2004-05,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,07,1441
2004-06,2022,NARCOTICS,POSS: COCAINE,18,150
2004-04,0340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,03,1
2004-02,1626,GAMBLING,ILLEGAL ILL LOTTERY,19,6
2003-02,1621,GAMBLING,BOLITA OR BOLI PUL/RUNNER,19,1
2003-03,3770,INTERFERENCE WITH PUBLIC OFFICER,CONTRABAND IN PRISON,26,1
2003-05,2095,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,18,70
2003-07,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,26,225
2003-07,0265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,02,27
2003-06,2220,LIQUOR LAW VIOLATION,ILLEGAL POSSESSION BY MINOR,22,26
2003-05,2094,NARCOTICS,ATTEMPT POSSESSION CANNABIS,18,27
2003-07,0487,BATTERY,AGGRAVATED OF A UNBORN CHILD,04B,1
2003-09,1375,CRIMINAL DAMAGE,INSTITUTIONAL VANDALISM,14,7
2003-09,1460,WEAPONS VIOLATION,POSS FIREARM/AMMO:NO FOID CARD,15,14
2004-01,2027,NARCOTICS,POSS: CRACK,18,1024
2004-01,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,11,181
2004-03,1020,ARSON,BY FIRE,09,42
2004-03,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,04A,164
2003-12,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,26,13
2004-01,0920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,07,66
2003-12,1025,ARSON,AGGRAVATED,09,10
2004-03,501H,OTHER OFFENSE,HAZARDOUS MATERIALS VIOLATION,26,1
2004-06,1255,DECEPTIVE PRACTICE,UNIDENTIFIABLE RECORDING SOUND,11,2
2003-05,2890,PUBLIC PEACE VIOLATION,OTHER VIOLATION,26,9
2003-05,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,22,18
2003-07,2210,LIQUOR LAW VIOLATION,SELL/GIVE/DEL LIQUOR TO MINOR,22,21
2003-06,0553,ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,04A,7
2003-08,0498,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,04B,9
2003-07,4652,OTHER OFFENSE,SEX OFFENDER: PROHIBITED ZONE,26,1
2003-11,0483,BATTERY,AGG PRO.EMP: OTHER DANG WEAPON,04B,5
2003-06,0581,STALKING,AGGRAVATED,08A,1
2003-10,1507,PROSTITUTION,SOLICIT OFF PUBLIC WAY,16,3
2003-12,1200,DECEPTIVE PRACTICE,STOLEN PROP: BUY/RECEIVE/POS.,13,19
2004-06,2860,PUBLIC PEACE VIOLATION,FALSE POLICE REPORT,24,6
2004-05,1120,DECEPTIVE PRACTICE,FORGERY,10,118
2004-04,3960,INTIMIDATION,INTIMIDATION,26,34
2004-05,4210,KIDNAPPING,KIDNAPPING,26,5
2003-04,1791,OFFENSE INVOLVING CHILDREN,HARBOR RUNAWAY,20,1
2003-07,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,26,722
2003-05,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,03,58
2003-06,1512,PROSTITUTION,SOLICIT FOR PROSTITUTE,16,5
2003-05,1375,CRIMINAL DAMAGE,INSTITUTIONAL VANDALISM,14,4
2003-11,500N,OTHER OFFENSE,ABUSE/NEGLECT: CARE FACILITY,26,3
2003-11,1792,KIDNAPPING,CHILD ABDUCTION/STRANGER,20,16
2003-08,2026,NARCOTICS,POSS: PCP,18,8
2003-11,1435,WEAPONS VIOLATION,UNLAWFUL SALE/DELIVERY OF FIREARM AT SCHOOL,15,1
2004-01,0820,THEFT,$500 AND UNDER,06,2155
2004-02,0483,BATTERY,AGG PRO.EMP: OTHER DANG WEAPON,04B,9
2004-02,4810,OTHER OFFENSE,COMPOUNDING A CRIME,26,1
2004-04,0925,MOTOR VEHICLE THEFT,"ATT: TRUCK, BUS, MOTOR HOME",07,13
2004-03,2021,NARCOTICS,POSS: BARBITUATES,18,5
2003-03,1631,GAMBLING,WIREROOM/SPORTS,19,1
2003-06,0557,ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,04A,2
2003-06,0870,THEFT,POCKET-PICKING,06,179
2003-05,1512,PROSTITUTION,SOLICIT FOR PROSTITUTE,16,1
2003-10,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,26,32
2003-10,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,02,62
2003-09,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,26,31
2003-09,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,26,50
2003-09,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,04B,137
2004-01,1320,CRIMINAL DAMAGE,TO VEHICLE,14,1628
2003-12,2860,PUBLIC PEACE VIOLATION,FALSE POLICE REPORT,24,9
2004-02,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,26,246
2004-03,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,03,80
2004-04,0320,ROBBERY,STRONGARM - NO WEAPON,03,420
2004-04,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,22,13
2004-04,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,05,61
2004-04,4310,OTHER OFFENSE,POSSESSION OF BURGLARY TOOLS,26,5
2004-06,1900,OTHER NARCOTIC VIOLATION,INTOXICATING COMPOUNDS,18,1
2004-03,1791,OFFENSE INVOLVING CHILDREN,HARBOR RUNAWAY,20,1
2003-04,0557,ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,04A,2
2003-06,2027,NARCOTICS,POSS: CRACK,18,923
2003-06,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,11,172
2003-07,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,24,64
2003-08,2017,NARCOTICS,MANU/DELIVER:CRACK,18,187
2003-07,0580,STALKING,SIMPLE,08A,21
2003-06,2025,NARCOTICS,POSS: HALLUCINOGENS,18,9
2003-07,1791,OFFENSE INVOLVING CHILDREN,HARBOR RUNAWAY,20,2
2003-10,2022,NARCOTICS,POSS: COCAINE,18,136
2003-10,1375,CRIMINAL DAMAGE,INSTITUTIONAL VANDALISM,14,3
2003-10,0479,BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY,04B,9
2003-10,142A,WEAPONS VIOLATION,UNLAWFUL SALE HANDGUN,15,3
2004-01,1335,CRIMINAL TRESPASS,TO AIRPORT,26,16
2003-12,0291,CRIM SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,02,7
2004-01,0261,CRIM SEXUAL ASSAULT,AGGRAVATED: HANDGUN,02,5
2004-01,2090,NARCOTICS,ALTER/FORGE PRESCRIPTION,18,7
2003-12,2160,NARCOTICS,SALE/DEL DRUG PARAPHERNALIA,26,1
2004-02,0556,ASSAULT,AGG PRO.EMP: OTHER FIREARM,04A,1
2004-03,0555,ASSAULT,AGG PRO.EMP: HANDGUN,04A,1
2004-04,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,26,35
2004-06,1792,KIDNAPPING,CHILD ABDUCTION/STRANGER,20,13
2004-06,0843,THEFT,ATTEMPT FINANCIAL IDENTITY THEFT,06,19
2004-04,3730,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,24,4
2003-07,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,11,166
2003-06,0454,BATTERY,AGG PO HANDS NO/MIN INJURY,08B,58
2003-07,3960,INTIMIDATION,INTIMIDATION,26,29
2003-08,0880,THEFT,PURSE-SNATCHING,06,172
2003-07,0440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,08B,43
2003-08,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,26,74
2003-07,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,20,15
2003-05,0264,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER DANG WEAPON,02,1
2003-08,0261,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - HANDGUN,02,1
2003-09,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,18,49
2003-10,1205,DECEPTIVE PRACTICE,"THEFT BY LESSEE,NON-VEH",11,3
2003-11,1025,ARSON,AGGRAVATED,09,14
2003-11,4860,OTHER OFFENSE,BOARD PLANE WITH WEAPON,26,5
2003-10,2011,NARCOTICS,MANU/DELIVER:BARBITUATES,18,3
2003-08,0479,BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY,04B,3
2004-01,3910,INTERFERENCE WITH PUBLIC OFFICER,BRIBERY,26,2
2004-03,1235,DECEPTIVE PRACTICE,UNLAWFUL USE OF RECORDED SOUND,11,5
2004-03,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,18,50
2004-03,502T,OTHER OFFENSE,TAMPER WITH MOTOR VEHICLE,26,3
2004-06,3960,INTIMIDATION,INTIMIDATION,26,29
2004-06,041A,BATTERY,AGGRAVATED: HANDGUN,04B,198
2004-06,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,26,143
2004-05,4255,KIDNAPPING,UNLAWFUL INTERFERE/VISITATION,26,4
2004-05,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,18,72
2004-03,2090,NARCOTICS,ALTER/FORGE PRESCRIPTION,18,11
2004-05,0273,CRIM SEXUAL ASSAULT,ATTEMPT AGG: KNIFE/CUT INSTR,02,1
2004-05,0274,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER DANG WEAPON,02,1
2003-03,1572,SEX OFFENSE,ADULTRY,17,1
2003-06,1330,CRIMINAL TRESPASS,TO LAND,26,722
2003-06,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,11,199
2003-07,4255,KIDNAPPING,UNLAWFUL INTERFERE/VISITATION,26,24
2003-08,1025,ARSON,AGGRAVATED,09,16
2003-10,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,07,1412
2003-11,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,08A,74
2003-09,0581,STALKING,AGGRAVATED,08A,1
2003-12,501A,OTHER OFFENSE,ANIMAL ABUSE/NEGLECT,26,35
2004-02,1245,DECEPTIVE PRACTICE,PAY TV SERVICE OFFENSES,11,4
2004-01,1661,GAMBLING,GAME/DICE,19,11
2004-01,0453,BATTERY,AGGRAVATED PO: OTHER DANG WEAP,04B,6
2004-04,1565,SEX OFFENSE,INDECENT SOLICITATION/CHILD,17,1
2003-05,0440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,08B,49
2003-08,1570,SEX OFFENSE,PUBLIC INDECENCY,17,65
2003-06,1205,DECEPTIVE PRACTICE,"THEFT BY LESSEE,NON-VEH",11,5
2003-11,4255,KIDNAPPING,UNLAWFUL INTERFERE/VISITATION,26,22
2003-09,5011,OTHER OFFENSE,LICENSE VIOLATION,26,26
2003-09,2091,NARCOTICS,FORFEIT PROPERTY,26,22
2003-11,0461,BATTERY,AGG PO HANDS ETC SERIOUS INJ,04B,3
2004-01,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,11,244
2003-12,2851,PUBLIC PEACE VIOLATION,ARSON THREAT,26,35
2003-12,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,20,12
2004-01,2220,LIQUOR LAW VIOLATION,ILLEGAL POSSESSION BY MINOR,22,9
2004-02,0264,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER DANG WEAPON,02,2
2004-06,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,26,235
2004-04,1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,12,8
2003-06,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,20,81
2003-06,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,26,67
2003-06,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,04A,191
2003-05,4210,KIDNAPPING,KIDNAPPING,26,9
2003-07,2851,PUBLIC PEACE VIOLATION,ARSON THREAT,26,43
2003-05,1565,SEX OFFENSE,INDECENT SOLICITATION/CHILD,17,5
2003-06,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,02,11
2003-05,0553,ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,04A,9
2003-08,0550,ASSAULT,AGGRAVATED PO: HANDGUN,04A,5
2003-08,1511,PROSTITUTION,IN TAVERN,16,1
2003-12,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,03,78
2004-01,031B,ROBBERY,ARMED: OTHER FIREARM,03,6
2004-06,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,04A,198
2004-03,2094,NARCOTICS,ATTEMPT POSSESSION CANNABIS,18,13
2004-05,2050,NARCOTICS,CRIMINAL DRUG CONSPIRACY,18,3
2004-06,0865,THEFT,DELIVERY CONTAINER THEFT,06,5
2004-02,1680,GAMBLING,OTHER,19,2
2004-05,3975,INTIMIDATION,COMPELLING ORG MEMBERSHIP,26,1
2004-03,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,02,1
2003-10,2095,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,18,1522
2003-11,2024,NARCOTICS,POSS: HEROIN(WHITE),18,562
2003-11,0462,BATTERY,AGG PRO EMP HANDS SERIOUS INJ,04B,6
2003-11,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,22,17
2003-11,141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,15,10
2003-10,2110,NARCOTICS,POS: HYPODERMIC NEEDLE,18,1
2004-02,5004,SEX OFFENSE,ATT CRIM SEXUAL ABUSE,17,4
2004-02,031A,ROBBERY,ARMED: HANDGUN,03,353
2004-02,2095,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,18,442
